link,listed_by,station,rent,beds
https://zoopla.co.uk/to-rent/details/73399179,Zoopla,Marble Arch,4117,2
https://onthemarket.com/details/19674249,Newington London Estates - Marylebone,Baker Street,4312,2
https://rightmove.co.uk/properties/89437383,"Manors, London - Lettings Estate Agent",Lancaster Gate,4333,2
https://zoopla.co.uk/to-rent/details/73401302,Zoopla,Lancaster Gate,4333,2
https://onthemarket.com/details/19672094,OnTheMarket,Baker Street,4400,2
https://onthemarket.com/details/19674591,Newington London Estates - Marylebone,Baker Street,4442,2
https://onthemarket.com/details/18966055,OnTheMarket,Baker Street,4450,2
https://onthemarket.com/details/7051189,OnTheMarket,Gloucester Road,4485,2
https://onthemarket.com/details/19655600,OnTheMarket,Tottenham Court Road,4500,3
https://zoopla.co.uk/to-rent/details/73396608,Zoopla,Holborn,4550,2
https://zoopla.co.uk/to-rent/details/73398513,Zoopla,Marble Arch,4550,2
https://zoopla.co.uk/to-rent/details/73234462,Zoopla,Kensington Olympia,4600,3
https://zoopla.co.uk/to-rent/details/73033792,Zoopla,Gloucester Road,4800,2
https://zoopla.co.uk/to-rent/details/73275557,Zoopla,Kensington Olympia,4853,3
https://rightmove.co.uk/properties/89428032,"Parkes Estate Agents, Kensington Estate Agent",Gloucester Road,4983,2
https://zoopla.co.uk/to-rent/details/59136828,Zoopla,Regent Park,4983,3
https://zoopla.co.uk/to-rent/details/73400918,Zoopla,Lancaster Gate,4984,3
https://zoopla.co.uk/to-rent/details/72826389,Zoopla,Kensington Olympia,5000,3
https://zoopla.co.uk/to-rent/details/67570795,Zoopla,Victoria,5000,3
https://zoopla.co.uk/to-rent/details/73315652,Zoopla,Gloucester Road,5200,2
https://rightmove.co.uk/properties/89448333,"OpenRent, London Estate Agent",Regent Park,5200,4
https://zoopla.co.uk/to-rent/details/73060929,Zoopla,Kensington Olympia,5250,3
https://rightmove.co.uk/properties/60503105,"Residential Land Ltd, London - Lettings Estate Agent",Bond Street,5460,2
https://rightmove.co.uk/properties/174720794,"Wetherell, Mayfair Estate Agent",Bond Street,5500,2
https://onthemarket.com/details/19674687,Newington London Estates - Marylebone,Baker Street,5500,4
https://rightmove.co.uk/properties/88901379,"Golden Eagle International, London Estate Agent",Marble Arch,5633,3
https://zoopla.co.uk/to-rent/details/69428195,Zoopla,Holborn,6000,3
https://zoopla.co.uk/to-rent/details/73399318,Zoopla,Regent Park,6175,5
https://zoopla.co.uk/to-rent/details/73401143,Zoopla,Gloucester Road,6500,4
https://zoopla.co.uk/to-rent/details/72747644,Zoopla,Marble Arch,6933,3
https://zoopla.co.uk/to-rent/details/55606182,Zoopla,Lancaster Gate,7063,3
https://zoopla.co.uk/to-rent/details/72178704,Zoopla,Regent Park,7150,3
https://rightmove.co.uk/properties/174514082,"Croft International, London Estate Agent",Bond Street,7410,3
https://rightmove.co.uk/properties/88412871,"Plaza Estates, Marble Arch Estate Agent",Bond Street,7410,3
https://rightmove.co.uk/properties/88049100,"Chatterton Rees, London Estate Agent",Gloucester Road,7500,3
https://zoopla.co.uk/to-rent/details/70130046,Zoopla,Gloucester Road,7500,3
https://onthemarket.com/details/17312842,OnTheMarket,South Kensington,7501,3
https://onthemarket.com/details/19584731,Newington London Estates - Marylebone,Baker Street,7583,3
https://zoopla.co.uk/to-rent/details/70394321,Zoopla,Lancaster Gate,7692,3
https://rightmove.co.uk/properties/173113007,"Stirling Ackroyd Lettings, West End Estate Agent",Regent Park,7800,3
https://onthemarket.com/details/19674291,Newington London Estates - Marylebone,Baker Street,7999,4
https://onthemarket.com/details/17160995,Kinleigh Folkard & Hayward - Marylebone Lettings,Baker Street,8000,3
https://rightmove.co.uk/properties/174991661,"Sandersons, Holland Park & Notting Hill Estate Agent",Bond Street,8000,3
https://zoopla.co.uk/to-rent/details/70320453,Zoopla,Lancaster Gate,8017,3
https://zoopla.co.uk/to-rent/details/73158265,Zoopla,Gloucester Road,8125,3
https://onthemarket.com/details/17548676,OnTheMarket,Regent Park,8235,3
https://zoopla.co.uk/to-rent/details/72867883,Zoopla,South Kensington,8300,3
https://zoopla.co.uk/to-rent/details/73032441,Zoopla,Tottenham Court Road,8333,3
https://zoopla.co.uk/to-rent/details/72163808,Zoopla,South Kensington,8342,3
https://onthemarket.com/details/19599557,OnTheMarket,Gloucester Road,8400,3
https://zoopla.co.uk/to-rent/details/38786670,Zoopla,Gloucester Road,8450,3
https://onthemarket.com/details/17239421,OnTheMarket,Gloucester Road,8450,3
https://rightmove.co.uk/properties/170979110,"Draker KFH, Notting Hill Estate Agent",Gloucester Road,8500,3
https://zoopla.co.uk/to-rent/details/70834369,Zoopla,Kensington Olympia,8500,3
https://onthemarket.com/details/19401689,OnTheMarket,South Kensington,8500,3
https://onthemarket.com/details/19565651,OnTheMarket,Gloucester Road,8502,3
https://onthemarket.com/details/18630375,OnTheMarket,Gloucester Road,8667,3
https://onthemarket.com/details/19272191,OnTheMarket,South Kensington,8750,3
https://onthemarket.com/details/14874873,OnTheMarket,Gloucester Road,8883,3
https://onthemarket.com/details/18179392,OnTheMarket,South Kensington,8900,3
https://onthemarket.com/details/16065835,OnTheMarket,Gloucester Road,8920,3
https://zoopla.co.uk/to-rent/details/71887084,Zoopla,Gloucester Road,9000,3
https://onthemarket.com/details/19550836,OnTheMarket,South Kensington,9000,3
https://zoopla.co.uk/to-rent/details/70943945,Zoopla,South Kensington,9000,4
https://onthemarket.com/details/19480230,OnTheMarket,Gloucester Road,9100,3
https://zoopla.co.uk/to-rent/details/73322229,Zoopla,South Kensington,9499,3
https://zoopla.co.uk/to-rent/details/72821961,Zoopla,South Kensington,9499,3
https://rightmove.co.uk/properties/88661073,"Parkes Estate Agents, Kensington Estate Agent",Gloucester Road,9500,3
https://onthemarket.com/details/19514527,OnTheMarket,Gloucester Road,9533,3
https://onthemarket.com/details/19056370,OnTheMarket,South Kensington,9533,3
https://onthemarket.com/details/19637275,OnTheMarket,South Kensington,9533,3
https://onthemarket.com/details/17711153,Draker KFH - Sloane Square Lettings,South Kensington,9750,3
https://onthemarket.com/details/19673478,Draker KFH - Notting Hill Lettings,Gloucester Road,9900,3
https://zoopla.co.uk/to-rent/details/73105505,Zoopla,South Kensington,9945,3
https://rightmove.co.uk/properties/174047279,"Circa London, Southwark Estate Agent",Victoria,9997,3
https://onthemarket.com/details/19555469,OnTheMarket,South Kensington,10000,4
https://zoopla.co.uk/to-rent/details/72323521,Zoopla,Oxford Circus,10400,3
https://rightmove.co.uk/properties/174916184,"Hoffen West Limited, London Estate Agent",Victoria,10617,3
https://zoopla.co.uk/to-rent/details/64240220,Zoopla,Oxford Circus,10833,3
https://onthemarket.com/details/14364352,OnTheMarket,Marble Arch,11267,3
https://zoopla.co.uk/to-rent/details/71199564,Zoopla,South Kensington,11917,3
https://zoopla.co.uk/to-rent/details/68009751,Zoopla,South Kensington,11917,3
https://rightmove.co.uk/properties/174197054,"John D Wood & Co. Lettings, Belgravia Estate Agent",Victoria,12870,5
